id,first_name,last_name,birth_date,team_id,country,photo,position,rating,pesmaster_url,face_video_url,slug
359,Guilherme,Arana,14/04/1997,80,Brasil.png,img/jugadores/Guilherme Arana Lopes.png,Defensor,76,https://www.pesmaster.com/es/guilherme-arana/efootball-2022/player/101116/,https://youtu.be/cRS5_1ajgTo?si=6pJqLNtyBlp6uX3T,guilherme-arana
361,Álvaro,Montoro,17/04/2007,82,Argentina.png,img/jugadores/Álvaro Montoro.png,Mediocampista,73,https://www.pesmaster.com/es/alvaro-montoro/efootball-2022/player/168233/,https://youtu.be/H0UXDq0wvS8?si=-6y03t1JoTWkeC5N,alvaro-montoro
362,Arthur,Cabral,25/04/1998,82,Brasil.png,img/jugadores/Arthur Mendonça Cabral.png,Delantero,74,https://www.pesmaster.com/es/arthur-cabral/efootball-2022/player/123117/,https://youtu.be/_j5vgXc1liw?si=WANice0RMMLJ246F,arthur-cabral
360,Joaquín,Correa,13/08/1994,82,Argentina.png,img/jugadores/Joaquín Correa.png,Delantero,74,https://www.pesmaster.com/es/joaquin-correa/efootball-2022/player/60068/,https://youtu.be/UfzNDELkauI?si=7BdzUE-qz9dv16ng,joaquin-correa
363,Rodrigo,Garro,04/01/1998,84,Argentina.png,img/jugadores/Rodrigo Garro.png,Mediocampista,80,https://www.pesmaster.com/es/rodrigo-garro/efootball-2022/player/123665/,https://youtu.be/wbfaCmaZ4mI?si=5G7742BAWqJRKBEj,rodrigo-garro
364,Yuri,Alberto,18/03/2001,84,Brasil.png,img/jugadores/Yuri Alberto Monteiro da Silva.png,Delantero,78,https://www.pesmaster.com/es/yuri-alberto/efootball-2022/player/119108/,https://youtu.be/HmwOhjKAcdA?si=cq5RtYe2_qQ3OEEp,yuri-alberto
365,Fabrício,Bruno,12/02/1996,85,Brasil.png,img/jugadores/Fabrício Bruno Soares de Faria.png,Defensor,79,https://www.pesmaster.com/es/fabricio-bruno/efootball-2022/player/111809/,https://youtu.be/680zgfGVs7o?si=tvWljUcIY7kisafx,fabricio-bruno
367,Gabriel,Barbosa,30/08/1996,85,Brasil.png,img/jugadores/Gabriel Barbosa Almeida.png,Delantero,75,https://www.pesmaster.com/es/gabriel-barbosa/efootball-2022/player/58759/,https://youtu.be/4DQ2Cf8Zo1k?si=vc4A0sKx-nOxLmQ4,gabriel-barbosa
366,Kaio,Jorge,24/01/2002,85,Brasil.png,img/jugadores/Kaio Jorge Pinto Ramos.png,Delantero,79,https://www.pesmaster.com/es/kaio-jorge/efootball-2022/player/127062/,https://youtu.be/Wq0rrc0KIr0?si=hfImDLUQvT-r5BtH,kaio-jorge
375,Agustín,Rossi,21/08/1995,86,Argentina.png,img/jugadores/Agustín Rossi.png,Arquero,80,https://www.pesmaster.com/es/agustin-rossi/efootball-2022/player/105304/,https://youtu.be/9Cc8lYTLVQc?si=3xQktAw3IiWInKbx,agustin-rossi
376,Emerson,Royal,14/01/1999,86,Brasil.png,img/jugadores/Emerson Leite De Souza.png,Defensor,75,https://www.pesmaster.com/es/emerson-royal/efootball-2022/player/114592/,https://youtu.be/fNN5OX14ldQ?si=EFHfvi-IBz9iPkSa,emerson-royal
373,Jorge,Carrascal,25/05/1998,86,Colombia.png,img/jugadores/Jorge Carrascal.png,Mediocampista,77,https://www.pesmaster.com/es/jorge-carrascal/efootball-2022/player/103966/,https://youtu.be/-RXMpJrhcag?si=X4DcDnPztAEpkEJn,jorge-carrascal
372,Giorgian,De Arrascaeta,01/06/1994,86,Uruguay.png,img/jugadores/Giorgian De Arrascaeta.png,Mediocampista,84,https://www.pesmaster.com/es/g-de-arrascaeta/efootball-2022/player/61525/,https://youtu.be/TTFpLUe8KkA?si=30W_rkz2hSKYJyu7,giorgian-de-arrascaeta
368,Nicolás,De La Cruz,01/06/1997,86,Uruguay.png,img/jugadores/Nicolás De la Cruz.png,Mediocampista,75,https://www.pesmaster.com/es/nicolas-de-la-cruz/efootball-2022/player/118353/,https://youtu.be/ZFpOr3VMhaw?si=lxTPNmpr05Vxeq6S,nicolas-de-la-cruz
374,Pedro,Guilherme,20/06/1997,86,Brasil.png,img/jugadores/Pedro Guilherme Abreu dos Santos.png,Delantero,81,https://www.pesmaster.com/es/pedro/efootball-2022/player/111408/,https://youtu.be/CRHOsJM-zSk?si=H4g1l4gPvQCcuSmG,pedro-guilherme
371,Bruno,Henrique,30/12/1990,86,Brasil.png,img/jugadores/Bruno Henrique Pinto.png,Delantero,79,https://www.pesmaster.com/es/bruno-henrique/efootball-2022/player/106609/,https://youtu.be/wbCaIfNnstE?si=e5UGdwoT769OrbpC,bruno-henrique
370,Samuel,Lino,23/12/1999,86,Brasil.png,img/jugadores/Samuel Dias Lino.png,Delantero,78,https://www.pesmaster.com/es/samuel-lino/efootball-2022/player/132905/,https://youtu.be/IhzUcHCY6KQ?si=uxrWZhnQf7euTRF3,samuel-lino
369,Gonzalo,Plata,01/11/2000,86,Ecuador.png,img/jugadores/Gonzalo Plata.png,Delantero,76,https://www.pesmaster.com/es/gonzalo-plata/efootball-2022/player/132573/,https://youtu.be/BTzXPV8I_oM?si=MoahjUgruBJrrX4Z,gonzalo-plata
380,Germán,Cano,02/02/1988,87,Argentina.png,img/jugadores/Germán Cano.png,Delantero,74,https://www.pesmaster.com/es/german-cano/efootball-2022/player/45761/,https://youtu.be/JXkdtzyVmjM?si=vDBXg10u8qmHeDmh,german-cano
378,Agustín,Canobbio,01/10/1998,87,Uruguay.png,img/jugadores/Agustín Canobbio.png,Delantero,73,https://www.pesmaster.com/es/agustin-canobbio/efootball-2022/player/153447/,https://youtu.be/fpJJ_pR5QBM?si=HMrhAwu2E2IeM7GM,agustin-canobbio
377,John,Kennedy,18/05/2002,87,Brasil.png,img/jugadores/John Kennedy Batista de Souza.png,Delantero,72,https://www.pesmaster.com/es/john-kennedy/efootball-2022/player/133333/,https://youtu.be/EjU9QBEMtcc?si=AK-ktDDVHDRmrca_,john-kennedy
379,Yeferson,Soteldo,30/06/1997,87,Venezuela.png,img/jugadores/Yeferson Soteldo.png,Delantero,72,https://www.pesmaster.com/es/yeferson-soteldo/efootball-2022/player/61643/,https://youtu.be/NXmqZ95LIRY?si=WGZPsMGXAZpx19PT,yeferson-soteldo
382,Adam,Bareiro,26/07/1996,88,Paraguay.png,img/jugadores/Adam Bareiro.png,Delantero,73,https://www.pesmaster.com/es/adam-bareiro/efootball-2022/player/109739/,https://youtu.be/v3Hoi8YBaKQ?si=avCEIJCfsVbAm4JL,adam-bareiro
381,Yago,Pikachu,05/06/1992,88,Brasil.png,img/jugadores/Glaybson Yago Souza Lisboa.png,Delantero,72,https://www.pesmaster.com/es/yago-pikachu/efootball-2022/player/110802/,https://youtu.be/jR9NSvZFm_w?si=0aJHBBCA3pQOS7rF,yago-pikachu
383,Franco,Cristaldo,15/08/1996,89,Argentina.png,img/jugadores/Franco Cristaldo.png,Mediocampista,72,https://www.pesmaster.com/es/franco-cristaldo/efootball-2022/player/105298/,https://youtu.be/KJK2Nb4fqTI?si=FMQORkEdrS6yPqz3,franco-cristaldo
386,Sergio,Rochet,23/03/1993,90,Uruguay.png,img/jugadores/Sergio Rochet.png,Arquero,76,https://www.pesmaster.com/es/sergio-rochet/efootball-2022/player/102895/,https://youtu.be/3U9EOjxMW7w?si=5hmHc9pUMc4hTv0j,sergio-rochet
385,Johan,Carbonero,20/07/1999,90,Colombia.png,img/jugadores/Johan Carbonero.png,Delantero,74,https://www.pesmaster.com/es/johan-carbonero/efootball-2022/player/123788/,https://youtu.be/0klfFl6N_-Q?si=Ol2vo-G1qcTaONJb,johan-carbonero
384,Rafael,Santos Borré,15/09/1995,90,Colombia.png,img/jugadores/Rafael Santos Borré Maury.png,Delantero,74,https://www.pesmaster.com/es/rafael-borre/efootball-2022/player/104541/,https://youtu.be/9oCm6Vf8Nxo?si=WTnVnJqIuu2MkI74,rafael-santos-borre
387,Agustín,Giay,16/01/2004,93,Argentina.png,img/jugadores/Agustín Giay.png,Defensor,73,https://www.pesmaster.com/es/agustin-giay/efootball-2022/player/143642/,https://youtu.be/QNXvWw7DbaA?si=BV7QLcv3Tws0Bd97,agustin-giay
388,Aníbal,Moreno,13/05/1999,93,Argentina.png,img/jugadores/Aníbal Moreno.png,Mediocampista,77,https://www.pesmaster.com/es/anibal-moreno/efootball-2022/player/128959/,https://youtu.be/D5T1t5HMI6c?si=7prkKtXs-2NS4aTa,anibal-moreno
390,Raphael,Veiga,19/06/1995,93,Brasil.png,img/jugadores/Raphael Cavalcante Veiga.png,Mediocampista,77,https://www.pesmaster.com/es/raphael-veiga/efootball-2022/player/111422/,https://youtu.be/IXpCqjD7XY8?si=JUc2OWOHS2ALFp0r,raphael-veiga
392,Paulinho,Henrique,15/07/2000,93,Brasil.png,img/jugadores/Paulo Henrique Sampaio Filho.png,Delantero,78,https://www.pesmaster.com/es/paulinho/efootball-2022/player/117539/,https://youtu.be/ajt8jWdlPdc?si=gA-1EYaAQlqQRv1l,paulinho-henrique
389,José Manuel,López,06/12/2000,93,Argentina.png,img/jugadores/José Manuel López.png,Delantero,78,https://www.pesmaster.com/es/jose-lopez/efootball-2022/player/141870/,https://youtu.be/23dUUP8WdKY?si=en6BG5NolFXOd8mc,jose-manuel-lopez
393,Vitor,Roque,28/02/2005,93,Brasil.png,img/jugadores/Vitor Hugo Roque Ferreira.png,Delantero,79,https://www.pesmaster.com/es/vitor-roque/efootball-2022/player/151517/,https://youtu.be/IJqziefwuZc?si=n_3kCCiZGeCmorJt,vitor-roque
